incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
31-Dec-15,Louisiana,New Orleans,1900 block of Amelia Street,0,6,N/A,Mass Shooting,
27-Dec-15,Tennessee,Jackson,North Parkway,0,4,N/A,Mass Shooting,
26-Dec-15,Pennsylvania,Philadelphia,4210 Macalester St,0,4,N/A,Mass Shooting,
25-Dec-15,Florida,Jacksonville,Franklin and Odessa,0,4,N/A,Mass Shooting,
25-Dec-15,Alabama,Mobile,785 Schillinger Rd S,0,4,N/A,Mass Shooting,
21-Dec-15,California,San Leandro,14600 block of East 14th Street,0,4,N/A,Mass Shooting,
20-Dec-15,North Carolina,Wilmington,11th and Castle Street,1,4,N/A,Mass Shooting,
20-Dec-15,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,N/A,Mass Shooting,
20-Dec-15,Florida,Miami-dade (county),Northeast Seventh Avenue and Northeast 166th Street,0,4,N/A,Mass Shooting,
14-Dec-15,Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3,N/A,Mass Shooting,
13-Dec-15,California,Los Angeles,5550 S. Flower Street,1,3,N/A,Mass Shooting,
13-Dec-15,California,Huntington Beach,17000 block of Keelson Lane,0,4,N/A,Mass Shooting,
12-Dec-15,Georgia,Savannah,Whitaker Street,0,4,N/A,Mass Shooting,
11-Dec-15,Maryland,Baltimore,5100 block of Park Heights Avenue,1,3,N/A,Mass Shooting,
11-Dec-15,Pennsylvania,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4,N/A,Mass Shooting,
08-Dec-15,Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3,N/A,Mass Shooting,
06-Dec-15,Louisiana,Raceland,Market Street,1,3,N/A,Mass Shooting,
06-Dec-15,Nebraska,Omaha,North 108th Street and Military Road,2,3,N/A,Mass Shooting,
02-Dec-15,California,San Bernardino,1365 South Waterman Avenue,16,19,N/A,Mass Shooting,
02-Dec-15,Georgia,Savannah,100 block of West 33rd Street,1,3,N/A,Mass Shooting,
