incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
17-Mar-15,Oklahoma,Comanche,Highway 81,1,0,N/A,Accidental,Teen
13-Mar-15,Idaho,Caldwell,1600 block of East Cleveland Boulevard,1,0,N/A,Accidental,Teen
07-Mar-15,Wisconsin,Glen Flora,N7283 County Road B W,1,0,N/A,Accidental,Teen
06-Mar-15,Tennessee,Nashville,3024 Gwynwood Drive,1,0,N/A,Accidental,Teen
05-Mar-15,Pennsylvania,Philadelphia,2124 E Susquehanna Ave,1,0,N/A,Accidental,Teen
26-Feb-15,Texas,Garland,3900 block of Plymouth Drive,1,0,N/A,Accidental,Teen
24-Feb-15,Iowa,Vinton,1207 W. 4th Street,1,0,N/A,Accidental,Teen
21-Feb-15,South Dakota,Aberdeen,38312 124th St,1,0,N/A,Accidental,Teen
21-Feb-15,Louisiana,Baton Rouge,2014 Tennessee Street,1,0,N/A,Accidental,Teen
07-Feb-15,Texas,Dallas,5900 block of Highland Village Dr.,1,0,N/A,Accidental,Teen
03-Feb-15,Tennessee,Deer Lodge,Perkins Trail,1,0,N/A,Accidental,Teen
27-Jan-15,Michigan,Detroit,15800 block of Lappin Street,1,0,N/A,Accidental,Teen
26-Jan-15,Florida,Merritt Island,1014 Floral Lane,1,0,N/A,Accidental,Teen
25-Jan-15,Minnesota,Eagan,1794 Silver Bell Circle,1,0,N/A,Accidental,Teen
18-Jan-15,Georgia,Baconton,N/A,1,0,N/A,Accidental,Teen
17-Jan-15,North Carolina,Hot Springs,1180 Grassy Creek Road,1,0,N/A,Accidental,Teen
17-Jan-15,Louisiana,Baton Rouge,5800 block of South Sunset Hill Avenue,1,0,N/A,Accidental,Teen
15-Jan-15,Alabama,Irvington,Magnolia Road,1,0,N/A,Accidental,Teen
01-Jan-15,Idaho,Idaho Falls,900 block of South Emerson,1,0,N/A,Accidental,Teen
30-Dec-14,Florida,West Palm Beach,2300 Caroma Lane,1,0,N/A,Accidental,Teen
29-Dec-14,Michigan,Detroit,11200 block of Roxbury St,1,0,N/A,Accidental,Teen
29-Dec-14,Michigan,Detroit,11200 block of Roxbury Street,1,0,N/A,Accidental,Teen
